8,-102,8,-118,8.5,-109,8.5,-111,8.5,-110,8.5,-110,8.5,-107,8.5,-103,8.5,-105,8.5,-115,8.5,-109,8.5,-111,8.5,-105,8.5,-115,68,32,59,41,0
8.5,-115,8.5,-105,9,-105,9,-115,9,-108,9,-112,9,-104,9,-106,9,-105,9,-115,9,100,9,-120,9,-105,9,-115,63,37,72,28,1
7.5,-115,7.5,-105,7.5,100,7.5,-120,7.5,100,7.5,-120,7.5,103,7.5,-114,7.5,-105,7.5,-115,7.5,-101,7.5,-119,7.5,100,7.5,-120,48,52,22,78,1
7,-115,7,-105,7.5,-105,7.5,-115,7.5,-107,7.5,-113,7.5,-105,7.5,-105,7.5,-105,7.5,-115,7.5,-101,7.5,-119,7.5,-105,7.5,-115,51,49,59,41,1
8.5,-119,8.5,-101,8.5,-115,8.5,-105,8.5,-117,8.5,-103,8.5,-112,8.5,102,8.5,-115,8.5,-105,8.5,-115,8.5,-105,8.5,-115,8.5,-105,74,26,58,42,0
7,-115,7,-105,8,-109,8,-111,8,-110,8,-110,8,-103,8,-107,8,-105,8,-115,8,-109,8,-111,8,-105,8,-115,43,57,30,70,1
8.5,-101,8.5,-119,8.5,-113,8.5,-108,8.5,-110,8.5,-110,8.5,-104,8.5,-106,8.5,-115,8.5,-105,8.5,-113,8.5,-108,8.5,-110,8.5,-110,77,23,84,16,1
8.5,-101,8.5,-119,9.5,-105,9.5,-115,9.5,-105,9.5,-115,9.5,-100,9.5,-110,9.5,-105,9.5,-115,9.5,100,9.5,-120,9.5,-105,9.5,-115,52,48,72,28,0
8.5,-120,8.5,100,8.5,-120,8.5,100,8.5,-119,8.5,-101,8.5,-112,8.5,101,8.5,-125,8.5,105,8.5,-120,8.5,100,8.5,-115,8.5,-105,82,18,75,25,1
8,-120,8,100,8.5,-115,8.5,-105,8.5,-118,8.5,-102,8.5,-108,8.5,-102,8.5,-115,8.5,-105,8.5,-115,8.5,-105,8.5,-115,8.5,-105,60,40,63,37,0
10,-110,10,-110,10,-119,10,-101,10,-119,10,-101,10,-114,10,103,10.5,-105,10.5,-115,10,-119,10,-101,10,-115,10,-105,73,27,66,34,0
9,-102,9,-118,9,-105,9,-115,9,100,9,-120,9,104,9,-115,9,100,9,-120,9,-105,9,-115,9,-105,9,-115,68,32,67,33,2
8.5,100,8.5,-120,8.5,-111,8.5,-109,8.5,-115,8.5,-105,8.5,-104,8.5,-106,8.5,-110,8.5,-110,8.5,-101,8.5,-120,8.5,-115,8.5,-105,60,40,66,34,0
9,100,9,-120,9,-115,9,-105,9,-115,9,-105,9,-109,9,-101,9,-115,9,-105,9,-115,9,-105,9,-115,9,-105,66,34,76,24,1
6.5,-110,6.5,-110,6.5,100,6.5,-120,6.5,102,6.5,-122,6.5,103,6.5,-114,6.5,-105,6.5,-115,6.5,100,6.5,-120,6.5,100,6.5,-120,66,34,58,42,1
8.5,-105,8.5,-115,9,-109,9,-111,9,-107,9,-113,9,-104,9,-106,9,-105,9,-115,9,-109,9,-111,9,-105,9,-115,43,57,41,59,0
7,-120,7,100,7.5,-111,7.5,-109,7.5,-115,7.5,-105,7.5,-107,7.5,-103,7.5,-115,7.5,-105,7.5,-111,7.5,-109,7.5,-110,7.5,-110,39,61,44,56,0
8.5,-105,8.5,-115,8.5,105,8.5,-125,8.5,100,8.5,-120,8,-108,8,-102,8.5,100,8.5,-120,8,-105,8,-115,8.5,105,8.5,-125,43,57,40,60,0
7.5,-110,7.5,-110,7.5,-119,7.5,-101,7.5,-115,7.5,-105,7.5,-112,7.5,101,7.5,-115,7.5,-105,7.5,-119,7.5,-101,7.5,-120,7.5,100,44,56,48,52,1
9,100,9,-120,9,-130,9,110,9,-127,9,107,9.5,103,9.5,-114,9,-120,9,100,9,-120,9,100,9.5,100,9.5,-120,73,27,93,7,1
9,-105,9,-115,9,-125,9,100,9,-122,9,102,9,-114,9,104,9,-115,9,-105,9.5,-101,9.5,-119,9,-120,9,100,77,23,69,31,0
9,100,9,-120,8.5,-115,8.5,-105,8.5,-115,8.5,-105,8.5,-111,8.5,101,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-115,8.5,-105,33,67,31,69,1
8.5,100,8.5,-120,9,-110,9,-110,9,-108,9,-112,9,-102,9,-108,9,-115,9,-105,9,-110,9,-110,9,-105,9,-115,81,19,70,30,0
7.5,-110,7.5,-110,7,-120,7,100,7,-120,7,100,7,-117,7,106,7,-120,7,100,7,-120,7,-101,7,-120,7,100,57,43,30,70,0
9,-110,9,-110,9.5,-109,9.5,-101,9.5,-117,9.5,-103,9.5,-109,9.5,-101,9.5,-110,9.5,-110,9.5,-123,9.5,102,9.5,-115,9.5,-105,74,26,92,8,0
9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-100,9.5,-110,9.5,-115,9.5,-105,9.5,-110,9.5,-110,9.5,-110,9.5,-110,81,19,76,24,0
11,-110,11,-110,11.5,105,11.5,-116,11.5,-102,11.5,-118,11.5,105,11.5,-116,11.5,-105,11.5,-115,11.5,-105,11.5,-115,11.5,-105,11.5,-115,58,42,64,36,1
7.5,-119,7.5,-101,7.5,-110,7.5,-110,7.5,-110,7.5,-110,7.5,-108,7.5,-102,7.5,-115,7.5,-105,7.5,-110,7.5,-110,7.5,-110,7.5,-110,50,50,24,76,0
8,-115,8,-105,8.5,-119,8.5,-101,8.5,-121,8.5,101,8.5,-115,8.5,104,8.5,-120,8.5,100,8.5,-119,8.5,-101,8.5,-120,8.5,100,70,30,81,19,1
9,-110,9,-110,9.5,-115,9.5,-105,9.5,-120,9.5,100,10,103,10,-114,9.5,-115,9.5,-105,9.5,-115,9.5,-105,10,100,10,-120,73,27,71,29,0
9,100,9,-120,10,-110,10,-110,10,-115,10,-105,10,-110,10,-100,10,-105,10,-115,10,-110,10,-110,10,-110,10,-110,55,45,62,38,1
7.5,-110,7.5,-110,7.5,-130,7.5,110,8,-108,8,-112,8,-102,8,-109,7.5,-120,7.5,100,8,-102,8,-118,8,-110,8,-110,58,42,53,47,0
8.5,100,8.5,-120,8,-115,8,-105,8,-118,8,-102,8,-112,8,102,8,-115,8,-105,8,-115,8,-105,8,-115,8,-105,72,28,52,48,0
9,-118,9,-102,10,-110,10,-110,10,-118,10,-102,10,-108,10,-102,10,-115,10,-105,10,-110,10,-110,10,-110,10,-110,77,23,86,14,1
10,-120,10,100,10.5,-120,10.5,100,10.5,-110,10.5,-110,10.5,-106,10.5,-104,10.5,-120,10.5,100,10.5,-120,10.5,100,10.5,-110,10.5,-110,41,59,56,44,1
